Judul,Link,Tahun,Penulis,Publikasi
Spatial Clustering Regression in Identifying Local Factors in Stunting Cases in Indonesia,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&cstart=100&pagesize=100&citation_for_view=fN-LWBEAAAAJ:Ug5p-4gJ2f0C,2025,"UA Syam, A Djuraidah, UD Syafitri","JTAM (Jurnal Teori dan Aplikasi Matematika) 9 (2), 600-614, 2025"
"Spatiotemporal Bayes model for estimating the number of hotspots as an indicator of forest and land fires in Kalimantan Island, Indonesia",https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&pagesize=100&citation_for_view=fN-LWBEAAAAJ:ruyezt5ZtCIC,2025,"F Rohimahastuti, A Djuraidah, H Wijayanto","Journal of Agrometeorology 27 (1), 27-32, 2025"
Bayesian conditional negative binomial autoregressive model: a case study of stunting on Java Island in 2021,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&pagesize=100&citation_for_view=fN-LWBEAAAAJ:tuHXwOkdijsC,2024,"DJ Fitri, A Djuraidah, H Wijayanto","Commun. Math. Biol. Neurosci. 2024, Article ID 18, 2024"
Rainfall modeling with CMIP6-DCPP outputs and local characteristic information using eigenvector spatial filtering varying coefficient (ESF-VC),https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&cstart=100&pagesize=100&citation_for_view=fN-LWBEAAAAJ:SpbeaW3--B0C,2024,"D Al Mahkya, A Djuraidah, AH Wigena, B Sartono","Journal of Agrometeorology 26 (3), 311-317, 2024"
"Bias correction and ensemble techniques in statistical downscaling model for rainfall prediction using Tweedie-LASSO in West Java, Indonesia",https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&cstart=100&pagesize=100&citation_for_view=fN-LWBEAAAAJ:i2xiXl-TujoC,2024,"D Dewanti, A Djuraidah, B Sartono, A Sopaheluwakan","Journal of Agrometeorology 26 (3), 324-330, 2024"
A-Optimal pada Mixture Amount Design dengan modifikasi rancangan petak terbagi menggunakan Algoritma point-exchange,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&cstart=100&pagesize=100&citation_for_view=fN-LWBEAAAAJ:tYavs44e6CUC,2024,"MDP Sari, UD Syafitri, A Djuraidah","Al-Khwarizmi: Jurnal Pendidikan Matematika dan Ilmu Pengetahuan Alam 12 (2 …, 2024"
BCBimax Biclustering Algorithm with Mixed-Type Data,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&pagesize=100&citation_for_view=fN-LWBEAAAAJ:WZBGuue-350C,2024,"H Izzati, I Indahwati, A Djuraidah","JUITA: Jurnal Informatika 12 (1), 131-139, 2024"
Identifying Factors Affecting Waste Generation in West Java in 2021 Using Spatial Regression,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&pagesize=100&citation_for_view=fN-LWBEAAAAJ:kz9GbA2Ns4gC,2024,"A Djuraidah, A Rizki, T Alfan","JTAM (Jurnal Teori dan Aplikasi Matematika) 8 (2), 495-505, 2024"
APPLICATION OF PENALIZED SPLINE-SPATIAL AUTOREGRESSIVE MODEL TO HIV CASE DATA IN INDONESIA,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&pagesize=100&citation_for_view=fN-LWBEAAAAJ:zLWjf1WUPmwC,2023,"N Pigitha, A Djuraidah, AH Wigena","BAREKENG: Jurnal Ilmu Matematika dan Terapan 17 (1), 0527-0534, 2023"
Performance of LASSO and elastic-net methods on non-invasive blood glucose measurement calibration modeling,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&pagesize=100&citation_for_view=fN-LWBEAAAAJ:EkHepimYqZsC,2023,"F Abqorunnisa, E Erfiani, A Djuraidah","BAREKENG: Jurnal Ilmu Matematika dan Terapan 17 (1), 0037-0042, 2023"
