PUBLIKASI DARI SCOPUS API
Judul,Penulis,Nama Jurnal,Tahun,Sitasi,DOI,EID,Link Dokumen,Sumber
"Spatio-temporal Bayes model for estimating the number of hotspots as an indicator of forest and land fires in Kalimantan Island, Indonesia",Rohimahastuti F.,Journal of Agrometeorology,2025,0,10.54386/jam.v27i1.2761,2-s2.0-105000853549,https://api.elsevier.com/content/abstract/scopus_id/105000853549,Scopus API
"Bias correction and ensemble techniques in statistical downscaling model for rainfall prediction using Tweedie-LASSO in West Java, Indonesia",Dewanti D.,Journal of Agrometeorology,2024,0,10.54386/jam.v26i3.2614,2-s2.0-85203587924,https://api.elsevier.com/content/abstract/scopus_id/85203587924,Scopus API
Rainfall modeling with CMIP6-DCPP outputs and local characteristic information using eigenvector spatial filtering varying coefficient (ESF-VC),Mahkya D.A.,Journal of Agrometeorology,2024,0,10.54386/jam.v26i3.2599,2-s2.0-85203602030,https://api.elsevier.com/content/abstract/scopus_id/85203602030,Scopus API
BAYESIAN CONDITIONAL NEGATIVE BINOMIAL AUTOREGRESSIVE MODEL: A CASE STUDY OF STUNTING ON JAVA ISLAND IN 2021,Fitri D.J.,Communications in Mathematical Biology and Neuroscience,2024,2,10.28919/cmbn/8281,2-s2.0-85186249577,https://api.elsevier.com/content/abstract/scopus_id/85186249577,Scopus API
"Land Use Change Modelling Using Logistic Regression, Random Forest and Additive Logistic Regression in Kubu Raya Regency, West Kalimantan",Pradana A.N.,Forum Geografi,2023,15,10.23917/forgeo.v37i2.23270,2-s2.0-85183408597,https://api.elsevier.com/content/abstract/scopus_id/85183408597,Scopus API
Geo-additive mixed model with variable selection using the adaptive elastic net to handle nonresponse in official rice productivity survey,Ardiansyah M.,Spatial Statistics,2023,0,10.1016/j.spasta.2023.100761,2-s2.0-85163435667,https://api.elsevier.com/content/abstract/scopus_id/85163435667,Scopus API
PERFORMANCE OF LASSO AND ELASTIC-NET METHODS ON NON-INVASIVE BLOOD GLUCOSE MEASUREMENT CALIBRATION MODELING,Abqorunnisa F.,Barekeng,2023,3,10.30598/barekengvol17iss1pp0037-0042,2-s2.0-85212533233,https://api.elsevier.com/content/abstract/scopus_id/85212533233,Scopus API
APPLICATION OF PENALIZED SPLINE-SPATIAL AUTOREGRESSIVE MODEL TO HIV CASE DATA IN INDONESIA,Pigitha N.,Barekeng,2023,1,10.30598/barekengvol17iss1pp0527-0534,2-s2.0-85217489359,https://api.elsevier.com/content/abstract/scopus_id/85217489359,Scopus API
ROBUST STOCHASTIC PRODUCTION FRONTIER TO ESTIMATE TECHNICAL EFFICIENCY OF RICE FARMING IN SULAWESI SELATAN,Pranata I.,Barekeng,2023,0,10.30598/barekengvol17iss1pp0391-0400,2-s2.0-85217496178,https://api.elsevier.com/content/abstract/scopus_id/85217496178,Scopus API
Multiclass Forecasting on Panel Data Using Autoregressive Multinomial Logit and C5.0 Decision Tree,Ardiansyah M.,Pakistan Journal of Statistics and Operation Research,2023,1,10.18187/pjsor.v19i1.4053,2-s2.0-85153754262,https://api.elsevier.com/content/abstract/scopus_id/85153754262,Scopus API
The Modeling of Poverty in Java Island 2012 until 2018 using Dynamic Spatial Panel,Nuswantari A.,Aip Conference Proceedings,2022,0,10.1063/5.0111015,2-s2.0-85146523933,https://api.elsevier.com/content/abstract/scopus_id/85146523933,Scopus API
Evaluation of Ensemble Method for Multiclass Classification on Unbalanced Data,Rosita A.A.,Aip Conference Proceedings,2022,1,10.1063/5.0108841,2-s2.0-85146529735,https://api.elsevier.com/content/abstract/scopus_id/85146529735,Scopus API
Spatial Regression Model on Gross Regional Domestic Products in Indonesia with Eigenvector Spatial Filtering Approach,Sahputri N.R.,Aip Conference Proceedings,2022,0,10.1063/5.0109110,2-s2.0-85146506087,https://api.elsevier.com/content/abstract/scopus_id/85146506087,Scopus API
Modeling Life Expectancy in Papua Province Using Spatial Dynamic Panel Data Models,Shafira T.,Aip Conference Proceedings,2022,0,10.1063/5.0109130,2-s2.0-85146499002,https://api.elsevier.com/content/abstract/scopus_id/85146499002,Scopus API
Value-at-Risk Portfolio Estimation with Copula on Selected Stocks Using Variable Importance from Random Forest,Utomo A.,Aip Conference Proceedings,2022,1,10.1063/5.0109428,2-s2.0-85146510336,https://api.elsevier.com/content/abstract/scopus_id/85146510336,Scopus API
Spatio Temporal Random Effect Models for Child Labor Mapping,Wulandari I.,Aip Conference Proceedings,2022,0,10.1063/5.0107998,2-s2.0-85146514648,https://api.elsevier.com/content/abstract/scopus_id/85146514648,Scopus API
2D-Multinomial Elastic Net to Classify Rice Growth Phases Based on Images,Ardiansyah M.,Aip Conference Proceedings,2022,1,10.1063/5.0111158,2-s2.0-85146508060,https://api.elsevier.com/content/abstract/scopus_id/85146508060,Scopus API
